test_set,rank_within_test_set,image_id,dataset_index,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,gt_area,pred_area,pred_gt_area_ratio
TestingSet,2,TestingSet_000000,0,0.55,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.56,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.57,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.58,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.59,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.6,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.61,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.62,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.63,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.64,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.65,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.66,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.67,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.68,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.69,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.7,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.71,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.72,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.73,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.74,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.75,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.76,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.77,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.78,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.79,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.8,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.81,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.82,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.83,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.84,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.85,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.86,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.87,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.88,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.89,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.9,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
